date,prev_close,sig,entry,exit,r1,sym,absr,dir,side,px_in,px_out,qty,gross,costs,net,raw_bps
2021-09-24,1328.3,1368.9,1366.95,1357.1,0.030565384325830003,HCLTECH,0.030565384325830003,1,L,1367.6334749999999,1356.42145,2,-22.424049999999625,2.8862628478261,-25.310312847825724,-72.05823182998783
2021-09-24,337.15,346.7,341.1,338.35,0.028325671066290914,WIPRO,0.028325671066290914,1,L,341.27055,338.180825,9,-27.807524999999885,3.2393062350967505,-31.046831235096636,-80.62151861624179
2021-09-27,410.45,425.4,418.3,420.9,0.036423437690339844,DLF,0.036423437690339844,1,L,418.50915,420.68955,7,15.26280000000014,3.1164336973433997,12.146366302656741,62.15634711929097
2021-09-28,167.05,173.15,175.2,174.5,0.03651601316970954,COALINDIA,0.03651601316970954,1,L,175.28759999999997,174.41275000000002,19,-16.622149999999095,3.5211557013028996,-20.143305701301994,-39.954337899542615
2021-09-28,132.0,136.425,138.03750000000002,137.925,0.033522727272727426,POWERGRID,0.033522727272727426,1,L,138.10651875000002,137.8560375,24,-6.01155000000017,3.5110792659051,-9.52262926590527,-8.149959250204342
2021-09-28,1038.7,1093.0,1050.0,1055.4,0.05227688456724744,GODREJCP,0.05227688456724744,1,L,1050.5249999999999,1054.8723000000002,3,13.041900000001078,3.3504437753694,9.691456224631679,51.42857142857338
2021-09-29,1537.15,1454.4,1457.7,1453.25,-0.05383339296750478,HDFCAMC,0.05383339296750478,-1,S,1456.97115,1453.976625,2,5.989050000000134,3.0875791853942998,2.901470814605834,30.52754339027297
2021-09-29,369.7,349.6,355.4,355.0,-0.05436840681633748,MAXHEALTH,0.05436840681633748,-1,S,355.2223,355.17749999999995,9,0.4032000000005951,3.3900963511931996,-2.9868963511926045,11.254924029262536
2021-09-29,174.55,178.75,187.1,185.75,0.024061873388713684,COALINDIA,0.024061873388713684,1,L,187.19355,185.657125,17,-26.11922499999966,3.3579439592933498,-29.47716895929301,-72.15392838054501
2021-09-30,669.6,685.5,673.05,676.6,0.023745519713261665,HAL,0.023745519713261665,1,L,673.3865249999999,676.2617,4,11.500700000000506,2.8637393959954,8.636960604005107,52.74496694153585
2021-09-30,827.15,855.25,853.6,852.7,0.033972072780027895,UNITDSPR,0.033972072780027895,1,L,854.0268,852.2736500000001,3,-5.259449999999674,2.7135960477051,-7.973046047704774,-10.543580131209263
2021-09-30,2024.0,2133.0,2161.5,2117.0,0.05385375494071143,SOLARINDS,0.05385375494071143,1,L,2162.58075,2115.9415,1,-46.639250000000175,2.2634534210284993,-48.902703421028676,-205.87554938700015
2021-10-01,105.95,108.8,109.65,108.75,0.026899480887210947,GAIL,0.026899480887210947,1,L,109.704825,108.695625,30,-30.275999999999783,3.470717550051,-33.74671755005078,-82.07934336525335
2021-10-01,683.9,716.55,700.95,696.7,0.0477408977920748,TRENT,0.0477408977920748,1,L,701.300475,696.3516500000001,4,-19.79529999999977,2.962108499521,-22.75740849952077,-60.631999429345825
2021-10-01,136.6,139.95,137.9,138.0,0.02452415812591502,ETERNAL,0.02452415812591502,1,L,137.96895,137.931,24,-0.910799999999881,3.5108436573287998,-4.421643657328681,7.2516316171133965
2021-10-04,2166.9,2296.6,2410.3,2419.3,0.059855092528496856,SOLARINDS,0.059855092528496856,1,L,2411.50515,2418.0903500000004,1,6.585200000000441,2.561501475583,4.023698524417441,37.33975023855862
2021-10-05,147.6,155.4,161.65,163.95,0.052845528455284674,ONGC,0.052845528455284674,1,L,161.730825,163.868025,20,42.74399999999957,3.457521356802,39.286478643197576,142.2827095576862
2021-10-05,168.6,174.7,179.6,179.4,0.036180308422301355,TATAPOWER,0.036180308422301355,1,L,179.6898,179.3103,18,-6.830999999999619,3.4255699564068003,-10.25656995640642,-11.135857461024301
2021-10-05,1176.1,1218.0,1210.95,1224.0,0.035626222260011886,ADANIGREEN,0.035626222260011886,1,L,1211.555475,1223.3880000000001,2,23.66505000000052,2.5847438334507,21.080306166549818,107.76662950575889
