sym,entry_date,exit_date,entry,exit,qty,net,days
BEL,2025-05-14,2025-07-18,339.33899999999994,403.84575,53,3359.414314830068,65
RELIANCE,2025-06-23,2025-07-22,1454.4529999999997,1425.9726,13,-427.8134180212073,29
MUTHOOTFIN,2025-07-22,2025-08-13,2685.8831999999993,2519.478,7,-1221.34409166381,22
MAXHEALTH,2025-05-14,2025-08-28,1150.149,1194.804,15,614.8586457393358,106
HDFCAMC,2025-07-18,2025-09-01,2767.0142499999997,2728.7685,7,-326.4197257938031,45
ADANIPOWER,2025-07-11,2025-09-25,121.52139999999999,145.3545,160,3750.2024869834568,76
DMART,2025-09-01,2025-10-01,4757.753,4470.924599999999,4,-1204.3502344989538,30
CUMMINSIND,2025-07-14,2025-10-03,3570.5669999999996,3845.5506,5,1317.8862053691118,81
JINDALSTEL,2025-10-01,2025-10-15,1064.8637999999999,995.004,19,-1386.8563446775297,14
MARUTI,2025-08-13,2025-11-06,12852.839999999998,15518.466,1,2618.3689890688474,85
CHOLAFIN,2025-10-15,2025-12-23,1650.649,1603.395,12,-626.4122681753288,69
EICHERMOT,2025-08-28,2026-01-21,6275.769499999999,7093.3995,3,2392.575462176421,146
HINDZINC,2025-12-23,2026-02-01,610.6099999999999,574.425,32,-1216.0757784931193,40
CANBK,2025-09-25,2026-02-02,123.02289999999999,140.90895,171,2992.6617018861216,130
MUTHOOTFIN,2025-10-03,2026-02-02,3153.1499999999996,3476.52,6,1880.233146447481,122
SHRIRAMFIN,2025-11-06,2026-03-05,793.3925999999999,1021.2777,26,5857.09774665652,119
ADANIPORTS,2026-02-04,2026-03-05,1531.4298999999999,1445.7528,14,-1261.815880476861,29
ADANIPOWER,2026-02-05,2026-03-05,155.44528999999997,138.861,143,-2434.4281711120966,28
SBIN,2026-01-23,2026-03-09,1052.9519,1113.885,20,1154.6664896292132,45
ABB,2026-02-04,2026-05-12,5666.660999999999,6353.64,3,2005.0897572779286,97
NESTLEIND,2026-04-22,2026-06-04,1392.3909999999998,1393.605,16,-46.03848225753245,43
JINDALSTEL,2026-04-22,2026-06-08,1290.2889999999998,1163.835,17,-2212.169697582405,47
ADANIPOWER,2026-04-22,2026-06-11,204.19398999999999,219.02076,110,1563.4054251363123,50
TRENT,2026-06-18,2026-07-08,3128.1249999999995,2918.079,7,-1533.3931677527253,20
VBL,2026-06-18,2026-07-08,548.2477,482.06745,39,-2641.8049335633295,20
ADANIGREEN,2026-05-12,2026-07-24,1381.3799999999999,1354.644,16,-492.38353928678043,73
CGPOWER,2026-06-18,2026-07-24,970.8698999999999,859.14,23,-2632.682189443658,36
ADANIENSOL,2026-04-22,2026-08-14,1270.7694999999999,1586.412,17,5296.420379905681,114
ZYDUSLIFE,2026-07-08,2026-08-20,1147.7465999999997,1115.883,19,-669.1764828818959,43
UNITDSPR,2026-07-27,2026-09-02,1479.1777,1457.541,14,-364.5535329727645,37
TORNTPHARM,2026-07-08,2026-09-07,4854.849999999999,4852.143,3,-56.41159808525481,61
BAJAJ-AUTO,2026-07-24,2026-09-11,11240.229,11612.376,1,330.8505021812707,49
SOLARINDS,2026-08-14,2026-09-16,20310.289999999997,19380.6,1,-989.7952756811392,33
MOTHERSON,2026-08-20,2026-09-16,171.32115,157.03280999999998,125,-1847.7158853818728,27
