date,sym,side,entry,exit,qty,reason,entry_time,exit_time,rvol,gross,costs,net,R
2022-02-18,AMBUJACEM,S,344.93,338.47,9,eod,09:35,15:10,6.66,58.12,3.27,54.86,0.76
2022-02-21,DRREDDY,S,865.72,861.38,3,eod,09:30,15:10,4.21,13.01,2.75,10.26,0.2
2022-02-23,SBILIFE,S,1099.45,1100.65,3,eod,15:10,15:10,11.98,-3.6,3.5,-7.1,-0.15
2022-03-02,HDFCLIFE,S,510.14,519.31,6,stop,09:35,10:20,11.76,-54.99,3.27,-58.26,-1.09
2022-03-02,PIDILITIND,L,1192.35,1198.1,2,eod,14:40,15:10,4.29,11.51,2.54,8.97,0.24
2022-03-04,HINDZINC,L,342.22,335.23,9,stop,09:30,11:40,5.04,-62.9,3.23,-66.12,-1.08
2022-03-09,SUNPHARMA,L,874.44,868.82,3,eod,09:30,15:10,4.29,-16.86,2.77,-19.64,-0.45
2022-03-10,AXISBANK,L,710.81,696.25,4,stop,09:35,13:40,4.73,-58.21,2.98,-61.19,-1.08
2022-03-11,LODHA,L,545.0,548.73,6,eod,09:30,15:10,5.03,22.37,3.48,18.89,0.3
2022-03-17,ADANIENSOL,L,2366.23,2388.81,1,eod,11:55,15:10,4.88,22.57,2.52,20.05,0.41
2022-03-22,MAXHEALTH,S,335.88,327.16,9,eod,09:30,15:10,5.77,78.47,3.17,75.29,1.35
2022-03-23,MAXHEALTH,S,330.23,333.12,10,eod,09:35,15:10,23.84,-28.82,3.51,-32.33,-0.46
2022-03-24,KOTAKBANK,L,345.57,342.38,9,eod,11:05,15:10,24.51,-28.75,3.28,-32.03,-0.66
2022-03-29,SBILIFE,S,1093.0,1102.05,3,eod,09:55,15:10,10.6,-27.14,3.49,-30.63,-0.47
2022-04-04,HDFCAMC,L,1167.98,1176.51,2,eod,09:35,15:10,7.71,17.06,2.49,14.57,0.31
2022-04-05,ADANIPORTS,S,831.53,848.42,4,stop,09:35,10:10,5.69,-67.56,3.56,-71.12,-1.08
2022-04-07,ADANIGREEN,L,2251.18,2208.89,1,stop,09:45,13:30,6.0,-42.28,2.36,-44.64,-1.08
2022-04-07,TATAPOWER,L,296.7,290.85,11,stop,09:50,10:30,5.09,-64.28,3.42,-67.7,-1.08
2022-04-07,BEL,L,74.29,77.21,44,eod,09:30,15:10,4.2,128.67,3.55,125.12,2.5
2022-04-08,BEL,L,78.84,78.86,42,eod,10:25,15:10,5.45,0.89,3.51,-2.62,-0.05
2022-04-11,GRASIM,L,1795.1,1775.36,1,stop,09:30,09:35,6.43,-19.74,1.89,-21.63,-1.15
2022-04-11,ITC,L,270.39,267.92,12,eod,10:25,15:10,4.15,-29.63,3.42,-33.05,-0.65
2022-04-11,MAZDOCK,L,148.12,151.47,22,eod,09:30,15:10,5.01,73.7,3.5,70.2,3.12
2022-04-25,ICICIBANK,L,761.53,751.27,4,eod,10:15,15:10,6.11,-41.03,3.2,-44.23,-0.71
2022-04-27,ADANIPORTS,S,903.65,888.84,3,eod,09:30,15:10,5.8,44.41,2.86,41.56,0.66
2022-04-28,HINDUNILVR,S,2191.55,2238.12,1,stop,09:30,11:25,5.49,-46.56,2.34,-48.91,-1.08
2022-04-29,VEDL,L,155.01,152.55,21,eod,09:35,15:10,5.85,-51.53,3.42,-54.95,-0.93
2022-05-06,ABB,L,2234.62,2257.92,1,eod,09:30,15:10,6.37,23.3,2.38,20.92,0.38
2022-05-11,CIPLA,L,925.11,936.13,3,eod,09:35,15:10,5.59,33.06,2.96,30.09,0.5
2022-05-16,EICHERMOT,L,2555.08,2613.94,1,eod,09:30,15:10,5.63,58.87,2.75,56.12,0.93
2022-05-20,HAL,L,873.94,879.06,3,eod,09:30,15:10,4.64,15.37,2.79,12.58,0.3
2022-05-31,SUNPHARMA,L,876.09,857.32,3,stop,09:30,09:55,11.04,-56.3,2.75,-59.05,-1.07
2022-06-02,HDFCLIFE,S,595.9,605.3,5,stop,09:40,14:15,7.13,-47.0,3.18,-50.18,-1.1
2022-06-10,LODHA,L,549.67,549.7,6,eod,10:25,15:10,10.48,0.15,3.5,-3.35,-0.05
2022-06-21,EICHERMOT,S,2640.88,2705.0,1,stop,09:45,15:05,7.14,-64.12,2.83,-66.95,-1.07
2022-06-22,MAXHEALTH,L,365.18,364.32,9,eod,09:30,15:10,28.7,-7.78,3.48,-11.26,-0.19
2022-07-05,RECLTD,S,127.94,128.46,26,eod,09:30,15:10,25.39,-13.73,3.53,-17.27,-0.26
2022-07-06,CGPOWER,L,199.55,195.4,16,stop,09:30,12:40,4.86,-66.36,3.34,-69.7,-1.08
2022-07-07,TITAN,S,2126.94,2128.06,1,eod,09:35,15:10,6.03,-1.13,2.26,-3.38,-0.08
2022-07-07,ABB,L,2569.83,2559.17,1,eod,10:30,15:10,8.85,-10.66,2.72,-13.38,-0.32
2022-07-07,GODREJCP,S,879.56,856.33,3,eod,09:45,15:10,6.1,69.7,2.77,66.93,1.16
2022-07-08,LT,L,1658.23,1686.86,2,eod,09:30,15:10,4.53,57.25,3.55,53.7,0.7
2022-07-14,SUNPHARMA,L,877.09,879.01,3,eod,10:10,15:10,4.26,5.77,2.79,2.97,0.08
2022-07-18,ZYDUSLIFE,S,366.82,358.18,9,eod,09:30,15:10,7.66,77.74,3.47,74.27,1.59
2022-07-19,TORNTPHARM,S,1509.59,1500.65,2,eod,11:15,15:10,4.7,17.89,3.19,14.7,0.25
2022-07-20,HDFCLIFE,S,531.73,524.91,6,eod,09:30,15:10,4.24,40.93,3.37,37.56,0.7
2022-07-21,WIPRO,L,205.05,207.0,16,eod,09:45,15:10,6.73,31.1,3.5,27.6,0.47
2022-07-22,CGPOWER,L,224.56,229.89,14,eod,09:30,15:10,6.54,74.52,3.38,71.14,1.01
2022-07-22,HAL,L,939.87,934.53,3,eod,10:20,15:10,5.82,-16.01,2.98,-18.99,-0.53
2022-07-25,ICICIBANK,S,801.6,800.4,4,eod,09:50,15:10,6.15,4.8,3.4,1.4,0.02
2022-07-26,SOLARINDS,L,2863.78,2836.33,1,stop,09:45,10:25,5.39,-27.45,3.02,-30.47,-1.17
2022-07-26,BAJAJFINSV,S,1284.46,1304.35,2,stop,09:30,11:20,4.84,-39.79,2.74,-42.53,-1.11
2022-07-26,TORNTPHARM,S,1450.47,1463.58,2,eod,09:30,15:10,4.68,-26.21,3.09,-29.3,-0.42
2022-07-29,HDFCLIFE,L,545.97,537.98,6,stop,09:40,10:20,4.55,-47.95,3.44,-51.4,-1.11
2022-07-29,BAJAJFINSV,S,1489.21,1507.15,2,eod,10:30,15:10,4.97,-35.9,3.17,-39.07,-0.64
2022-08-02,POWERGRID,L,165.68,166.94,20,eod,13:40,15:10,4.5,25.17,3.53,21.64,0.42
2022-08-02,SIEMENS,S,2768.96,2738.52,1,eod,09:55,15:10,5.26,30.45,2.92,27.52,0.6
2022-08-03,SIEMENS,S,2622.29,2616.71,1,eod,09:30,15:10,8.09,5.58,2.78,2.8,0.04
2022-08-04,TATACONSUM,S,789.61,790.14,4,eod,09:35,15:10,54.77,-2.16,3.35,-5.51,-0.17
2022-08-10,ICICIBANK,L,852.23,847.93,3,eod,10:10,15:10,4.52,-12.9,2.7,-15.6,-0.52
2022-08-10,BHARTIARTL,S,706.05,716.41,4,stop,09:30,10:30,4.12,-41.44,3.01,-44.46,-1.11
2022-08-10,INDHOTEL,L,274.94,268.72,12,stop,09:35,11:45,7.04,-74.66,3.45,-78.11,-1.07
2022-08-16,MUTHOOTFIN,S,1068.17,1040.52,3,eod,09:30,15:10,6.58,82.94,3.36,79.57,1.07
2022-08-16,RECLTD,S,137.08,137.62,24,eod,09:35,15:10,4.3,-12.9,3.49,-16.39,-0.47
2022-08-17,MUTHOOTFIN,L,1061.78,1066.97,3,eod,09:50,15:10,8.18,15.56,3.39,12.17,0.23
2022-08-17,PIDILITIND,L,1355.68,1357.62,2,eod,09:30,15:10,7.45,3.89,2.88,1.01,0.03
2022-08-19,ADANIENT,L,3244.52,3163.77,1,stop,09:50,11:25,4.87,-80.75,3.39,-84.14,-1.06
2022-08-24,UNITDSPR,S,776.06,776.04,4,eod,09:30,15:10,5.07,0.1,3.29,-3.2,-0.07
2022-09-01,NESTLEIND,S,979.21,987.64,3,eod,09:30,15:10,4.74,-25.3,3.13,-28.43,-0.42
2022-09-02,NTPC,S,162.72,162.08,20,eod,10:15,15:10,6.61,12.75,3.45,9.31,0.13
